weights;province;district;community.damage;interviewer_sex;hhh_ethnolinguistic_group;hhh_marital_status;hhh_age;hhh_gender;hhh_disability;total_members;disability;breastfeeding;pregnant;chronic_ill;expenditures_food;expenditures_loan_repayments;expenditures_livestock;expenditures_agri_inputs;expenditures_health;expenditures_eduction;expenditures_shelter_materials_labour;expenditures_rent;expenditures_fuel;expenditures_clothing_hh_items;expenditures_transport;expenditures_comms;expenditures_other;expenditures_other_specify;expenditures_primary_source_expend;expenditures_primary_source_expend_other;expenditures_secondary_source_expend;expenditures_secondary_source_expend_other;expenditures_tertiary_source_expend;expenditures_tertiary_source_expend_other;assistance_assistance_amount;Assistance_Received_y_n;assistance_assistance_type;assistance_assistance_type_other;assistance_household_damage;assistance_shelter_status;assistance_damage_status;assistance_repair_status;assistance_barriers_to_rebuild;assistance_barriers_to_rebuild_other;assistance_accommodation_arrangment;assistance_wall_material;assistance_wall_material_other;assistance_roof_material;assistance_roof_material_other;assistance_rooms_hh;BBB_note;BBB_bbb_safe_site;BBB_bbb_foundation;BBB_bbb_corner_braces;BBB_bbb_plinth_bands;BBB_bbb_lintels;BBB_bbb_windows_door_safe_distance;BBB_bbb_drainage;BBB_bbb_landslide_flood_minimsed;BBB_female_living_space;BBB_livestock_livingspace;WASH_primary_drinking_water;WASH_primary_drinking_water_other;WASH_primary_latrine;WASH_primary_latrine_other;WASH_primary_latrine_status;WASH_solid_waste;WASH_solid_waste_other;priority_needs_priority_needs
0,145896565;Balkh;Khuram Sarbagh;Low community damage;Female;Arab;Married;47;Male;no;8;0;1;1;0;12000;35000;0;15000;2000;450;0;0;0;6400;900;500;0;NA;cash crop;NA;livestock farming;NA;livestock farming;NA;0;No;no assistance;NA;fully damaged;same shelter or rebuilt;occupied fully damaged;repairs ongoing;NA;NA;owned with documentation;bricks;NA;mud grass;NA;8;NA;yes;yes;yes;yes;yes;no;yes;no;yes;no;handpump;NA;pit latrine open;NA;latrine used;burned;NA;education
0,145896565;Balkh;Sar e Pul;Low community damage;Male;Arab;Married;54;Female;no;9;0;1;0;0;20000;0;0;0;5750;780;0;2500;10000;7900;2500;600;0;NA;skilled daily labour;NA;borrow loans;NA;no further source;NA;0;No;no assistance;NA;fully damaged;same shelter or rebuilt;occupied fully damaged;repairs started on hold;no money for labour;NA;owned without documentation;bricks;NA;mud grass;NA;5;NA;yes;yes;yes;yes;yes;yes;yes;no;yes;no;pipe municipal;NA;pit latrine open;NA;latrine used;thrown out street;NA;food
2,281271713;Balkh;Pul e khumri;Low community damage;Male;Arab;Married;30;Male;no;9;0;1;0;0;12000;0;4000;0;4000;600;0;0;1350;4500;2700;400;0;NA;borrow loans;NA;cash crop;NA;no further source;NA;0;No;no assistance;NA;fully damaged;different site;no longer occupied;repairs started on hold;no money for labour;NA;owned with documentation;bricks;NA;mud grass;NA;4;NA;yes;yes;yes;yes;yes;no;yes;no;yes;no;pipe municipal;NA;pit latrine open;NA;latrine used;thrown out street;NA;education
0,145896565;Balkh;Dawlatabad;Low community damage;Male;Arab;Married;33;Female;no;7;0;0;0;0;10000;0;0;0;0;160;0;1083;5000;8000;100;500;0;NA;skilled daily labour;NA;no further source;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;rented;other;Mud wall;mud grass;NA;2;NA;no;yes;yes;yes;yes;yes;yes;not clear;no;no;pipe municipal;NA;pit latrine covered;NA;latrine used;thrown out street;NA;shelter assistance
2,281271713;Balkh;Sholgareh;Low community damage;Male;Baloch;Divorced;33;Male;no;15;0;1;1;0;15000;1200;0;4000;0;6000;0;0;2000;3000;0;500;0;NA;cash crop;NA;business sale goods services;NA;no further source;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied no longer damaged;NA;NA;NA;owned with documentation;other;Mud wall;mud grass;NA;6;NA;no;yes;yes;yes;yes;yes;yes;no;yes;no;pipe municipal;NA;pit latrine covered;NA;latrine used;buried;NA;employment
0,145896565;Balkh;Khulm;Low community damage;Female;Arab;Married;36;Male;no;5;0;1;0;0;15000;5000;0;0;25000;2000;0;0;4000;5000;2000;2000;60000;Funeral Costs;skilled daily labour;NA;no further source;NA;no further source;NA;0;Yes;other;Food, Blankets, Kitchen Goods;partially damaged;same shelter or rebuilt;occupied no longer damaged;NA;NA;NA;owned with documentation;bricks;NA;mud grass;NA;8;NA;no;yes;yes;yes;yes;yes;yes;no;yes;no;unprotected spring well;NA;pit latrine covered;NA;latrine used;burned;NA;water sanitation
0,145896565;Faryab;Sholgareh;High community damage;Male;Arab;Married;56;Male;no;5;0;0;0;0;5000;0;0;0;500;500;0;0;500;1000;1000;500;0;NA;cash crop;NA;business sale goods services;NA;saving;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;no money for materials;NA;owned with documentation;bricks;NA;mud grass;NA;4;NA;no;yes;no;yes;yes;yes;no;yes;no;no;handpump;NA;pit latrine open;NA;latrine used;burned;NA;agri livestock support
0,145896565;Balkh;Khuram Sarbagh;Low community damage;Male;Arab;Single;46;Male;no;12;1;1;0;1;10000;0;3000;8000;2000;0;0;0;1200;800;600;400;0;NA;cash crop;NA;livestock farming;NA;business sale goods services;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;no money for materials;NA;owned without documentation;other;Mud wall;mud grass;NA;5;NA;no;yes;no;yes;yes;no;yes;no;no;yes;other;Water reservoir;pit latrine open;NA;latrine used;thrown out street;NA;shelter assistance
0,145896565;Faryab;Khuram Sarbagh;High community damage;Male;Arab;Married;48;Male;no;6;0;0;0;0;8500;0;0;0;1000;6000;0;0;0;2000;1000;1500;0;NA;business sale goods services;NA;cash crop;NA;saving;NA;0;No;no assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs started on hold;no money for labour;NA;owned with documentation;stone;NA;mud grass;NA;7;NA;no;yes;no;yes;yes;yes;yes;yes;yes;no;handpump;NA;pit latrine open;NA;latrine used;burned;NA;employment
2,281271713;Faryab;Khulm;High community damage;Male;Arab;Married;55;Male;yes;5;0;1;0;0;15000;0;1000;2000;2000;1000;0;0;0;2000;1000;1500;0;NA;cash crop;NA;livestock farming;NA;business sale goods services;NA;0;Yes;shelter assistance;NA;partially damaged;same shelter or rebuilt;occupied partial damage;repairs not started;NA;NA;owned with documentation;timber;NA;mud grass;NA;8;NA;no;yes;no;yes;yes;yes;yes;not clear;yes;no;handpump;NA;pit latrine open;NA;latrine used;burned;NA;agri livestock support
